#OM_number;a;b
343;185.028;5.3358
344;202.916;-9.98519
345;180.361;6.44112
346;196.832;-0.152357
347;161.124;3.95504
348;169.223;33.3547
349;162.286;16.1892
352;173.266;6.92396
353;242.543;-7.90827
354;187.757;1.42065
355;162.495;10.3815
356;159.048;-1.56625
357;196.437;1.6113
358;170.285;-0.210267
359;188.732;-0.30508
360;175.596;6.04949
361;160.04;-0.064151
362;162.546;3.43272
365;183.131;-4.40864
366;176.388;18.4787
367;183.842;-2.057
368;210.92;13.4141
370;186.627;4.92373
371;164.669;-5.18344
372;164.989;4.36922
373;210.449;-0.55787
374;178.126;8.74907
375;178.815;24.3092
378;159.581;17.036
379;193.518;16.6801
380;178.478;8.12866
381;161.22;4.687
382;167.098;6.03763
383;184.445;2.039
384;155.057;9.79258
385;191.704;5.94069
386;195.961;4.54829
387;184.65;2.78601
388;182.426;16.5858
391;162.169;46.2806
392;184.164;15.6566
393;175.671;8.23109
394;151.37;6.24589
395;174.392;-2.84357
396;158.55;3.39261
397;188.993;0.351894
398;179.002;15.0187
399;161.718;3.34492
400;152.464;-0.885309
401;165.647;-6.62579
404;165.832;6.29985
405;167.399;-0.24485
406;150.925;-6.28107
407;162.496;6.44661
408;176.592;1.58484
409;182.999;0.922579
410;168.641;7.58088
411;184.547;2.56901
412;153.732;0.112483
413;161.914;11.6699
414;183.822;19.1862
417;146.34;24.2415
418;160.524;9.19834
419;142.8;0.680804
420;182.268;10.593
421;169.354;-2.81181
422;158.892;1.33303
423;160.227;0.408758
424;171.336;-3.28234
425;139.377;4.61213
426;173.74;4.33827
427;153.528;0.841141
430;175.221;5.03253
431;165.451;10.6968
432;153.745;6.46717
433;147.354;11.6615
434;167.437;5.6426
435;170.239;0.931001
436;145.842;-1.38179
437;189.986;-4.90136
438;182;8.09837
439;160.225;2.8801
440;146.805;8.868
443;171.496;8.32202
444;204.943;5.14852
445;232.119;-6.10685
446;161.359;1.91709
447;174.115;4.66138
448;175.831;-0.225686
449;138.451;-0.0903586
450;168.632;1.03045
451;186.225;1.4284
452;161.351;4.03822
453;153.732;0.112483
456;168.741;12.3091
457;182.621;8.72042
458;158.406;-6.02821
459;170.336;11.9105
460;151.854;4.40939
462;153.75;3.06403
463;170.947;0.269604
464;186.704;-0.343465
465;141.41;3.41087
466;152.015;8.5591
469;169.877;6.77992
470;165.227;11.8436
471;178.665;5.43007
472;151.927;5.60758
473;154.31;2.575
474;171.904;6.29318
475;183.541;-2.39733
476;175.539;-5.32384
477;176.716;2.13681
478;142.359;1.03307
479;151.144;-3.97386
482;167.931;11.7244
483;178.101;7.20486
484;143.466;8.49078
485;145.901;1.30215
486;145.426;-1.3876
487;183.631;2.21496
488;179.986;-11.9567
489;160.638;6.68375
490;194.512;-7.29571
491;162.869;5.16744
492;162.433;18.0552
495;165.379;-15.8282
496;148.269;6.62479
497;171.74;-1.64478
498;159.147;1.406
499;150.385;5.09491
500;173.149;-4.10678
501;166.171;4.19534
502;176.044;1.87607
503;173.237;-6.4303
504;140.52;5.20836
505;153.679;3.35841
508;179.337;-18.6417
509;176.643;-13.3538
510;166.293;4.36542
511;156.163;5.00971
512;122.459;-9.93606
513;180.674;-8.32216
514;162.285;-6.86645
515;163.039;-2.04011
516;172.361;-10.5995
517;151.828;20.0589
518;147.89;-24.7178
523;176.468;1.0437
524;164.96;-18.7992
525;188.458;-32.0573
526;230.953;45.4101
527;177.015;-4.60679
528;173.267;10.8652
529;187.31;-1.32294
530;178.01;22.3217
531;177.639;17.9985
537;176.081;54.5649
538;178.701;3.56216
539;188.138;10.5719
540;150.09;12.166
541;132.303;7.21378
542;175.811;19.8919
543;178.744;18.66
544;154.819;25.3599
545;150.813;7.12919
546;166.084;19.5936
547;152.182;22.0549
548;154.611;27.5894
549;144.929;11.3292
557;153.95;-2.28619
558;150.321;39.9426
559;138.11;16.3656
560;156.691;0.600942
561;123.664;4.96621
562;146.965;2.27585
570;124.138;-10.0582
571;161.204;-23.1744
572;153.956;27.0565
573;147.232;12.4301
574;251.831;-51.773
576;131.367;11.9769
577;153.538;22.8765
578;132.307;5.34673
579;141.103;-22.9181
580;182.024;5.64975
581;229.812;-32.3903
587;182.554;1.52972
588;150.879;-7.87007
589;103.989;-21.298
590;177.238;25.3449
591;163.996;-11.3474
592;186.226;5.89581
593;177.181;-27.1382
594;161.493;-18.9064
602;189.546;9.52282
603;223.862;-6.88112
604;181.998;-4.98832
605;205.839;6.29413
606;171.542;6.39559
607;153.667;14.377
608;143.813;12.2286
609;150.595;-14.6218
610;160.998;17.3212
611;161.741;36.7713
612;183.019;15.9586
613;162.075;12.7841
621;155.901;151.964
622;285.889;90.7293
623;182.65;27.8946
635;197.05;-16.4997
636;167.898;93.5873
637;209.761;-97.6424
638;168.988;28.5552
639;161.068;30.6648
640;179.15;-8.69141
641;152.203;12.0483
642;193.368;21.5541
643;176.562;-15.625
